"Start.Date","Last.Observed","SdlgCensor","Parent","HabitCode","SdlgCode","parentlight","left.bound","right.bound"
"8/10/2004","2/13/2005",1,5,1,1331,88.67023754,97,187
"8/10/2004","5/15/2005",1,5,1,972,88.67023754,188,278
"8/10/2004","7/31/2005",1,5,1,757,88.67023754,279,355
"5/17/2004","8/9/2004",1,6,3,2454,87.45279965,NA,84
"8/10/2004","11/14/2004",1,6,3,1916,87.45279965,NA,96
"8/10/2004","11/14/2004",1,6,3,1917,87.45279965,NA,96
"8/10/2004","2/13/2005",1,6,3,1332,87.45279965,97,187
"8/10/2004","2/13/2005",1,6,3,1333,87.45279965,97,187
"8/10/2004","5/15/2005",1,6,3,973,87.45279965,188,278
"8/10/2004","7/31/2005",1,6,3,739,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,758,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,759,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,760,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,761,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,762,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,763,87.45279965,279,355
"8/10/2004","7/31/2005",1,6,3,764,87.45279965,279,355
"8/10/2004","2/21/2006",1,6,3,298,87.45279965,462,560
"8/10/2004","2/21/2006",1,6,3,299,87.45279965,462,560
"5/17/2004","2/21/2006",1,6,3,418,87.45279965,547,645
"8/10/2004","10/24/2006",1,6,3,287,87.45279965,462,805
"8/10/2004","10/24/2006",1,6,3,347,87.45279965,462,805
"8/10/2004","10/24/2006",1,6,3,348,87.45279965,462,805
"5/17/2004","10/24/2006",1,6,3,424,87.45279965,547,890
"8/10/2004","6/27/2007",1,6,3,346,87.45279965,462,1051
"5/17/2004","8/9/2004",1,7,1,2571,76.71169073,NA,84
"8/10/2004","11/14/2004",1,7,1,1918,76.71169073,NA,96
"8/10/2004","11/14/2004",1,7,1,1919,76.71169073,NA,96
"8/10/2004","11/14/2004",1,7,1,1920,76.71169073,NA,96
"8/10/2004","5/15/2005",1,7,1,974,76.71169073,188,278
"8/10/2004","7/31/2005",1,7,1,765,76.71169073,279,355
"8/10/2004","11/14/2005",1,7,1,34,76.71169073,356,461
"8/10/2004","11/14/2005",1,7,1,35,76.71169073,356,461
"8/10/2004","2/21/2006",1,7,1,300,76.71169073,462,560
"8/10/2004","2/21/2006",1,7,1,301,76.71169073,462,560
"8/10/2004","10/24/2006",1,7,1,349,76.71169073,462,805
"8/10/2004","10/24/2006",1,7,1,351,76.71169073,462,805
"8/10/2004","6/28/2007",1,7,1,350,76.71169073,462,1052
"8/10/2004","10/24/2006",1,8,3,352,93.06289783,462,805
"5/17/2004","8/9/2004",1,9,1,2455,90.64463579,NA,84
"5/17/2004","8/9/2004",1,9,1,2456,90.64463579,NA,84
"5/17/2004","8/9/2004",1,9,1,2457,90.64463579,NA,84
"5/17/2004","8/9/2004",1,9,1,2572,90.64463579,NA,84
"8/10/2004","11/14/2004",1,9,1,1921,90.64463579,NA,96
"8/10/2004","11/14/2004",1,9,1,1922,90.64463579,NA,96
"8/10/2004","11/14/2004",1,9,1,1923,90.64463579,NA,96
"8/10/2004","11/14/2004",1,9,1,1924,90.64463579,NA,96
"8/10/2004","11/14/2004",1,9,1,1925,90.64463579,NA,96
"8/10/2004","11/14/2004",1,9,1,1926,90.64463579,NA,96
"5/17/2004","11/14/2004",1,9,1,2200,90.64463579,85,181
"5/17/2004","11/14/2004",1,9,1,2201,90.64463579,85,181
"5/17/2004","11/14/2004",1,9,1,2202,90.64463579,85,181
"5/17/2004","11/14/2004",1,9,1,2203,90.64463579,85,181
"5/17/2004","11/14/2004",1,9,1,2262,90.64463579,85,181
"2/24/2004","11/14/2004",1,9,1,2290,90.64463579,168,264
"8/10/2004","2/13/2005",1,9,1,1334,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1335,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1336,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1337,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1338,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1339,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1340,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1341,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1342,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1343,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1344,90.64463579,97,187
"8/10/2004","2/13/2005",1,9,1,1345,90.64463579,97,187
"5/17/2004","2/13/2005",1,9,1,1579,90.64463579,182,272
"5/17/2004","2/13/2005",1,9,1,1580,90.64463579,182,272
"5/17/2004","2/13/2005",1,9,1,1581,90.64463579,182,272
"5/17/2004","2/13/2005",1,9,1,1582,90.64463579,182,272
"2/24/2004","2/13/2005",1,9,1,1675,90.64463579,265,355
"8/10/2004","5/15/2005",1,9,1,975,90.64463579,188,278
"8/10/2004","5/15/2005",1,9,1,976,90.64463579,188,278
"8/10/2004","5/15/2005",1,9,1,977,90.64463579,188,278
"8/10/2004","5/15/2005",1,9,1,978,90.64463579,188,278
"8/10/2004","7/31/2005",1,9,1,766,90.64463579,279,355
