REEF_NAME,SECTOR,SHELF,LAT_DD,LON_DD,DATE,YEAR,YEARII,WEEK,WSSTA,TSASUMS_SM,PREV_1,CORAL_COVE,INC
EAST CAY,SW,O,-21.46982,152.5665,10/20/2003,2003,4-Mar,43,2,0,1,21.69567456,
FITZROY I,CA,I,-16.92315,145.99313,2/8/1999,1999,98/99,6,19,2,0,31.94219515,
FITZROY I,CA,I,-16.92315,145.99313,2/2/2000,2000,99/00,5,0,0,0,6.827475779,0
FITZROY I,CA,I,-16.92315,145.99313,2/7/2001,2001,00/01,6,2,0,0,6.300616157,0
FITZROY I,CA,I,-16.92315,145.99313,9/22/2001,2001,2-Jan,38,9,0,0,8.320788582,0
FITZROY I,CA,I,-16.92315,145.99313,11/8/2002,2002,3-Feb,45,7,0,0,7.106267806,0
FITZROY I,CA,I,-16.92315,145.99313,1/18/2004,2004,4-Mar,3,13,0,0,9.736635155,
GANNET CA,SW,M,-21.97585,152.48017,12/11/1998,1998,98/99,49,22,4,0,19.36602185,
GANNET CA,SW,M,-21.97585,152.48017,11/27/1999,1999,99/00,47,1,0,1,17.21012914,1
GANNET CA,SW,M,-21.97585,152.48017,9/8/2000,2000,00/01,36,0,0,0,6.72079914,0
GANNET CA,SW,M,-21.97585,152.48017,8/13/2001,2001,2-Jan,33,2,0,0,3.720107962,0
GANNET CA,SW,M,-21.97585,152.48017,9/10/2002,2002,3-Feb,37,6,5,4,4.119473944,4
GANNET CA,SW,M,-21.97585,152.48017,10/24/2003,2003,4-Mar,43,1,0,0,12.91042831,
GREEN ISL,CA,I,-16.77532,145.98045,2/3/1999,1999,98/99,5,18,3,1,6.262970965,
GREEN ISL,CA,I,-16.77532,145.98045,2/4/2000,2000,99/00,5,1,0,0,4.147911513,0
GREEN ISL,CA,I,-16.77532,145.98045,2/10/2001,2001,00/01,6,0,0,0,4.381301054,0
GREEN ISL,CA,I,-16.77532,145.98045,9/24/2001,2001,2-Jan,39,4,0,0,4.794086866,0
GREEN ISL,CA,I,-16.77532,145.98045,10/24/2002,2002,3-Feb,43,10,3,2,4.96969697,2
GREEN ISL,CA,I,-16.77532,145.98045,1/15/2004,2004,4-Mar,2,7,0,2,7.325706409,
HASTINGS,CA,M,-16.49935,146.02267,2/5/1999,1999,98/99,5,27,0,0,31.32567081,
HASTINGS,CA,M,-16.49935,146.02267,1/21/2000,2000,99/00,3,4,0,0,23.18160215,0
HASTINGS,CA,M,-16.49935,146.02267,2/13/2001,2001,00/01,7,1,0,2,24.47577243,2
HASTINGS,CA,M,-16.49935,146.02267,9/27/2001,2001,2-Jan,39,4,0,2,27.8201286,0
HASTINGS,CA,M,-16.49935,146.02267,11/3/2002,2002,3-Feb,45,4,2,106,25.29235463,104
HASTINGS,CA,M,-16.49935,146.02267,1/12/2004,2004,4-Mar,2,2,0,14,25.21396047,
HAVANNAH,TO,I,-18.8315,146.53737,5/2/1999,1999,98/99,18,15,0,0,21.99227828,
HAVANNAH,TO,I,-18.8315,146.53737,5/7/2000,2000,99/00,19,0,0,0,11.27181257,0
HAVANNAH,TO,I,-18.8315,146.53737,5/11/2001,2001,00/01,19,3,0,0,7.367067416,0
HAVANNAH,TO,I,-18.8315,146.53737,2/13/2002,2002,2-Jan,7,5,0,0,5.92821044,0
HAVANNAH,TO,I,-18.8315,146.53737,3/7/2003,2003,3-Feb,10,3,0,13,6.1,13
HAVANNAH,TO,I,-18.8315,146.53737,4/21/2004,2004,4-Mar,16,7,2,0,4.768844221,
HAYMAN IS,WH,I,-20.05698,148.8994,3/14/1999,1999,98/99,11,27,3,0,40.91441841,
HAYMAN IS,WH,I,-20.05698,148.8994,3/21/2000,2000,99/00,12,1,0,0,42.05563554,0
HAYMAN IS,WH,I,-20.05698,148.8994,3/31/2001,2001,00/01,13,0,0,3,44.34182762,3
HAYMAN IS,WH,I,-20.05698,148.8994,11/14/2001,2001,2-Jan,46,9,2,0,46.49181214,0
HAYMAN IS,WH,I,-20.05698,148.8994,11/25/2002,2002,3-Feb,48,5,0,22,40.05219843,22
HAYMAN IS,WH,I,-20.05698,148.8994,2/26/2004,2004,4-Mar,8,18,0,27,45.07276077,
HORSESHOE,SW,M,-22.02315,152.61893,12/3/1998,1998,98/99,48,20,3,2,35.0595662,
HORSESHOE,SW,M,-22.02315,152.61893,11/28/1999,1999,99/00,48,1,0,0,27.0781902,0
HORSESHOE,SW,M,-22.02315,152.61893,9/6/2000,2000,00/01,36,0,0,0,22.98523863,0
HORSESHOE,SW,M,-22.02315,152.61893,8/14/2001,2001,2-Jan,33,2,0,1,19.78871975,1
HORSESHOE,SW,M,-22.02315,152.61893,9/6/2002,2002,3-Feb,36,5,4,31,10.69045585,30
HORSESHOE,SW,M,-22.02315,152.61893,10/23/2003,2003,4-Mar,43,2,0,4,49.81175573,
HYDE,WH,O,-19.73872,150.0808,3/6/1999,1999,98/99,9,17,0,0,18.03402062,
HYDE,WH,O,-19.73872,150.0808,3/13/2000,2000,99/00,11,0,0,1,18.92045692,1
HYDE,WH,O,-19.73872,150.0808,3/25/2001,2001,00/01,13,0,0,0,17.69160696,0
HYDE,WH,O,-19.73872,150.0808,11/5/2001,2001,2-Jan,45,1,0,5,18.84204355,5
HYDE,WH,O,-19.73872,150.0808,11/27/2002,2002,3-Feb,48,2,0,3,17.36666667,0
HYDE,WH,O,-19.73872,150.0808,2/21/2004,2004,4-Mar,7,0,0,0,16.02559288,
JOHN BREW,TO,M,-18.61882,147.08147,4/29/1999,1999,98/99,17,16,0,24,28.92917561,
JOHN BREW,TO,M,-18.61882,147.08147,5/1/2000,2000,99/00,18,0,0,6,20.97952537,0
JOHN BREW,TO,M,-18.61882,147.08147,5/6/2001,2001,00/01,19,3,0,7,21.9309422,1
JOHN BREW,TO,M,-18.61882,147.08147,2/19/2002,2002,2-Jan,8,9,2,0,10.3995471,0
JOHN BREW,TO,M,-18.61882,147.08147,3/10/2003,2003,3-Feb,11,3,0,0,1.4,0
JOHN BREW,TO,M,-18.61882,147.08147,4/20/2004,2004,4-Mar,16,8,6,0,0.666666667,
LADY MUSG,CB,O,-23.8835,152.41978,11/30/1998,1998,98/99,48,17,1,2,57.10148013,
LADY MUSG,CB,O,-23.8835,152.41978,12/4/1999,1999,99/00,48,2,0,19,65.41157448,17
LADY MUSG,CB,O,-23.8835,152.41978,9/17/2000,2000,00/01,38,0,0,35,61.37031344,16
LADY MUSG,CB,O,-23.8835,152.41978,8/6/2001,2001,2-Jan,32,2,0,37,67.98539718,2
LADY MUSG,CB,O,-23.8835,152.41978,9/18/2002,2002,3-Feb,38,11,4,343,74.75421982,306
LADY MUSG,CB,O,-23.8835,152.41978,10/30/2003,2003,4-Mar,44,0,0,13,75.01055276,
LANGFORD,WH,I,-20.07727,148.87378,3/11/1999,1999,98/99,10,19,1,0,17.86666667,
LANGFORD,WH,I,-20.07727,148.87378,3/26/2000,2000,99/00,13,2,0,0,16.76322047,0
LANGFORD,WH,I,-20.07727,148.87378,4/1/2001,2001,00/01,14,1,0,0,20.43617199,0
LANGFORD,WH,I,-20.07727,148.87378,11/15/2001,2001,2-Jan,46,10,0,1,22.49593496,1
LANGFORD,WH,I,-20.07727,148.87378,11/26/2002,2002,3-Feb,48,3,0,12,21.69194139,11
LANGFORD,WH,I,-20.07727,148.87378,2/25/2004,2004,4-Mar,8,3,0,11,23.16404059,
LINNET,CL,I,-14.78517,145.35517,10/15/1998,1998,98/99,41,14,0,0,45.64401865,
LINNET,CL,I,-14.78517,145.35517,10/23/1999,1999,99/00,42,8,0,1,41.68985058,1
LINNET,CL,I,-14.78517,145.35517,7/20/2000,2000,00/01,29,0,0,0,45.9573862,0
LINNET,CL,I,-14.78517,145.35517,7/2/2001,2001,2-Jan,27,4,2,0,50.06876835,0
LINNET,CL,I,-14.78517,145.35517,8/1/2002,2002,3-Feb,31,9,0,49,51.03736359,49
LINNET,CL,I,-14.78517,145.35517,9/2/2003,2003,4-Mar,36,4,0,1,50.26951009,
LIZARD IS,CL,M,-14.69147,145.46923,10/16/1998,1998,98/99,41,16,0,1,12.66761543,
LIZARD IS,CL,M,-14.69147,145.46923,10/21/1999,1999,99/00,42,11,0,0,12.40368766,0
LIZARD IS,CL,M,-14.69147,145.46923,7/23/2000,2000,00/01,30,1,0,0,11.55821107,0
LIZARD IS,CL,M,-14.69147,145.46923,7/4/2001,2001,2-Jan,27,6,3,1,13.67840277,1
LIZARD IS,CL,M,-14.69147,145.46923,7/28/2002,2002,3-Feb,31,0,0,3,15.71672438,2
LIZARD IS,CL,M,-14.69147,145.46923,8/31/2003,2003,4-Mar,36,3,0,0,16.42296388,
LOW ISLES,CA,I,-16.38352,145.57095,1/25/1999,1999,98/99,4,24,2,0,21.3415639,
LOW ISLES,CA,I,-16.38352,145.57095,1/28/2000,2000,99/00,4,0,0,0,8.870708569,0
LOW ISLES,CA,I,-16.38352,145.57095,2/6/2001,2001,00/01,6,0,0,0,9.210802503,0
LOW ISLES,CA,I,-16.38352,145.57095,9/20/2001,2001,2-Jan,38,0,0,0,11.00488626,0
LOW ISLES,CA,I,-16.38352,145.57095,11/7/2002,2002,3-Feb,45,8,0,0,10.93752094,0
LOW ISLES,CA,I,-16.38352,145.57095,1/13/2004,2004,4-Mar,2,1,0,0,11.64825492,
MACGILLIV,CL,M,-14.64833,145.491,10/17/1998,1998,98/99,41,18,3,0,17.97645464,
MACGILLIV,CL,M,-14.64833,145.491,10/24/1999,1999,99/00,43,6,0,0,17.69027876,0
MACGILLIV,CL,M,-14.64833,145.491,7/18/2000,2000,00/01,29,1,0,3,19.13216861,3
MACGILLIV,CL,M,-14.64833,145.491,7/7/2001,2001,2-Jan,27,7,4,0,19.48010592,0
MACGILLIV,CL,M,-14.64833,145.491,7/24/2002,2002,3-Feb,30,3,0,2,20.08801753,2
MACGILLIV,CL,M,-14.64833,145.491,8/27/2003,2003,4-Mar,35,1,0,2,21.11842081,
MACKAY,CA,M,-16.04263,145.65455,1/27/1999,1999,98/99,4,22,0,0,27.87571189,
MACKAY,CA,M,-16.04263,145.65455,1/27/2000,2000,99/00,4,0,0,0,25.19222205,0
MACKAY,CA,M,-16.04263,145.65455,2/4/2001,2001,00/01,6,6,0,1,21.41359759,1
MACKAY,CA,M,-16.04263,145.65455,9/19/2001,2001,2-Jan,38,10,0,8,23.79487179,7
MACKAY,CA,M,-16.04263,145.65455,10/25/2002,2002,3-Feb,43,3,1,9,23.14057703,1
MACKAY,CA,M,-16.04263,145.65455,1/9/2004,2004,4-Mar,1,6,0,0,22.43338278,
MARTIN (1,CL,I,-14.7553,145.37223,10/19/1998,1998,98/99,42,15,0,1,24.8785173,
MARTIN (1,CL,I,-14.7553,145.37223,10/24/1999,1999,99/00,43,4,0,0,24.43646399,0
MARTIN (1,CL,I,-14.7553,145.37223,7/21/2000,2000,00/01,29,0,0,4,21.63288459,4
MARTIN (1,CL,I,-14.7553,145.37223,7/1/2001,2001,2-Jan,27,6,4,1,25.22483601,0
MARTIN (1,CL,I,-14.7553,145.37223,7/26/2002,2002,3-Feb,30,6,1,32,19.47236181,31
MARTIN (1,CL,I,-14.7553,145.37223,8/31/2003,2003,4-Mar,36,5,0,1,23.80235551,
MICHAELMA,CA,M,-16.54865,146.05,2/6/1999,1999,98/99,5,30,3,0,25.6771009,
MICHAELMA,CA,M,-16.54865,146.05,1/30/2000,2000,99/00,5,1,0,0,21.52123045,0
MICHAELMA,CA,M,-16.54865,146.05,2/13/2001,2001,00/01,7,1,0,0,23.67531806,0
MICHAELMA,CA,M,-16.54865,146.05,9/28/2001,2001,2-Jan,39,3,0,2,23.5047841,2
MICHAELMA,CA,M,-16.54865,146.05,11/2/2002,2002,3-Feb,44,5,2,92,22.86685132,90
