PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
712,Wildlife Resources Commission,728618.3181,77840.1272,0,1,0.403608734,3.760904052,30.099357,21.971433,2.363829,3.065436279,0,0,0,0.27,2007
716,Wildlife Resources Commission,729357.9188,78716.71874,0,1,0.488364624,2.523568847,1.689571,5.35263,3.704036,4.201071289,0,0,0,1.394596679,2004
716,Wildlife Resources Commission,729357.9188,78716.71874,0,2,0.488364624,2.523568847,1.689571,5.35263,3.704036,4.201071289,0,0,0,1.394596679,2005
716,Wildlife Resources Commission,729357.9188,78716.71874,1,2,0.488364624,2.523568847,1.689571,5.35263,3.704036,4.201071289,0,0,0,1.394596679,2006
716,Wildlife Resources Commission,729357.9188,78716.71874,0,1,0.488364624,2.523568847,1.689571,5.35263,3.704036,4.201071289,0,0,0,1.394596679,2007
719,Wildlife Resources Commission,727837.1779,77964.20745,1,2,0.21,4.169244628,4.093133,15.438424,1.821296,3.025243896,0,0,0,0.757165771,2004
719,Wildlife Resources Commission,727837.1779,77964.20745,0,1,0.21,4.169244628,4.093133,15.438424,1.821296,3.025243896,0,0,0,0.757165771,2005
719,Wildlife Resources Commission,727837.1779,77964.20745,0,2,0.21,4.169244628,4.093133,15.438424,1.821296,3.025243896,0,0,0,0.757165771,2006
719,Wildlife Resources Commission,727837.1779,77964.20745,1,2,0.21,4.169244628,4.093133,15.438424,1.821296,3.025243896,0,0,0,0.757165771,2007
720,Wildlife Resources Commission,727581.5259,77805.59356,1,2,0.256320098,4.131404296,2.176641,10.298424,1.072663,2.94,0,0,0,1.072054077,2004
720,Wildlife Resources Commission,727581.5259,77805.59356,0,1,0.256320098,4.131404296,2.176641,10.298424,1.072663,2.94,0,0,0,1.072054077,2005
720,Wildlife Resources Commission,727581.5259,77805.59356,0,2,0.256320098,4.131404296,2.176641,10.298424,1.072663,2.94,0,0,0,1.072054077,2006
720,Wildlife Resources Commission,727581.5259,77805.59356,1,2,0.256320098,4.131404296,2.176641,10.298424,1.072663,2.94,0,0,0,1.072054077,2007
741,Wildlife Resources Commission,726861.0699,79959.23732,0,4,0.735459045,1.727541625,55.855579,14.443141,25.800484,5.01,0,1,0.540832702,2.607757568,2004
741,Wildlife Resources Commission,726861.0699,79959.23732,0,4,0.735459045,1.727541625,55.855579,14.443141,25.800484,5.01,0,1,0.540832702,2.607757568,2005
741,Wildlife Resources Commission,726861.0699,79959.23732,0,4,0.735459045,1.727541625,55.855579,14.443141,25.800484,5.01,0,1,0.540832702,2.607757568,2006
741,Wildlife Resources Commission,726861.0699,79959.23732,0,4,0.735459045,1.727541625,55.855579,14.443141,25.800484,5.01,0,1,0.540832702,2.607757568,2007
742,Wildlife Resources Commission,726405.7084,78856.71553,0,4,0.12727922,2.510338623,44.653347,4.550252,17.405351,3.914856201,0,0.987627,0.06,2.305515136,2004
742,Wildlife Resources Commission,726405.7084,78856.71553,0,4,0.12727922,2.510338623,44.653347,4.550252,17.405351,3.914856201,0,0.987627,0.06,2.305515136,2005
742,Wildlife Resources Commission,726405.7084,78856.71553,0,4,0.12727922,2.510338623,44.653347,4.550252,17.405351,3.914856201,0,0.987627,0.06,2.305515136,2006
742,Wildlife Resources Commission,726405.7084,78856.71553,0,4,0.12727922,2.510338623,44.653347,4.550252,17.405351,3.914856201,0,0.987627,0.06,2.305515136,2007
