Plot,SPP,U,V,W,date,truecover,logw
509,NYSSSYL,2,9.842519685,47.55349953,1999,2,3.861855383
509,OSTRVIR,11,6.397637795,3.614065964,1999,2,1.284833444
509,QUERRUB,10,4.921259843,1.902139981,1999,2,0.642979558
509,VIBUACE,15,7.381889764,2.853209972,1999,2,1.048444666
51,DIOSVIR,1,2.460629921,4.755349953,2001,2,1.55927029
51,LIQUSTY,1,8.366141732,54.97184546,2001,2,4.006821153
51,PRUNSER,11,11.31889764,11.22262589,2001,2,2.417931909
51,QUERPHE,16,8.858267717,4.565135955,2001,2,1.518448296
51,QUERRUB,6,3.937007874,2.662995974,2001,2,0.979451795
51,ULMUAME,5,2.460629921,0.951069991,2001,2,-0.050167622
51,VIBUPRU,5,2.460629921,0.951069991,2001,2,-0.050167622
51,VIBUPRU,5,2.460629921,0.951069991,2001,2,-0.050167622
513,DIOSVIR,5,2.460629921,0.951069991,2001,2,-0.050167622
513,NYSSSYL,5,2.460629921,0.951069991,2001,2,-0.050167622
513,PINUTAE,4,5.905511811,6.847703933,2001,2,1.923913404
513,PRUNSER,5,2.460629921,0.951069991,2001,2,-0.050167622
523,CARYOVT,5,2.460629921,0.951069991,2000,2,-0.050167622
523,FRAX1S1,15,7.381889764,2.853209972,2000,2,1.048444666
523,JUNIVIR,1,1.476377953,1.711925983,2000,2,0.537619043
523,ULMUAME,15,7.381889764,2.853209972,2000,2,1.048444666
523,ULMURUB,1,1.476377953,1.711925983,2000,2,0.537619043
524,MORURUB,5,2.460629921,0.951069991,2001,2,-0.050167622
525,JUNIVIR,5,2.460629921,0.951069991,1999,2,-0.050167622
526,AESCSYL,10,4.921259843,1.902139981,1999,2,0.642979558
526,CERCCAN,3,7.381889764,15.78776184,1999,2,2.759235073
526,QUERRUB,1,2.460629921,4.755349953,1999,2,1.55927029
526,ULMUALA,14,10.82677165,8.749843914,1999,2,2.169035862
526,ULMURUB,3,4.429133858,5.135777949,1999,2,1.636231331
528,CARYGLA,1,1.476377953,1.711925983,1999,2,0.537619043
528,NYSSSYL,1,1.476377953,1.711925983,1999,2,0.537619043
528,VIBUACE,5,2.460629921,0.951069991,1999,2,-0.050167622
531,CARYALB,1,4.429133858,15.40733385,1999,2,2.73484362
531,FRAX1S1,1,1.476377953,1.711925983,1999,2,0.537619043
531,ULMUALA,8,11.81102362,24.34739176,1999,2,3.192424729
532,CARPCAR,2,7.874015748,24.72781976,1999,2,3.207928916
532,CARYOVT,11,6.397637795,3.614065964,1999,2,1.284833444
532,FRAX1S1,1,1.476377953,1.711925983,1999,2,0.537619043
532,LIQUSTY,2,2.952755906,3.423851966,1999,2,1.230766223
532,VIBUACE,15,7.381889764,2.853209972,1999,2,1.048444666
537,ACERBAR,1,1.476377953,1.711925983,2001,2,0.537619043
537,DIOSVIR,5,2.460629921,0.951069991,2001,2,-0.050167622
539,CARYGLA,5,2.460629921,0.951069991,2000,2,-0.050167622
54,CHIOVIR,5,2.460629921,0.951069991,2000,2,-0.050167622
54,JUNIVIR,11,6.397637795,3.614065964,2000,2,1.284833444
54,QUERFAL,1,7.381889764,42.79814958,2000,2,3.756494868
541,DIOSVIR,1,1.476377953,1.711925983,2000,2,0.537619043
541,QUERPHE,6,3.937007874,2.662995974,2000,2,0.979451795
542,ACERBAR,2,2.952755906,3.423851966,2000,2,1.230766223
542,ALNUSER,1,2.460629921,4.755349953,2000,2,1.55927029
542,CARYGLA,5,2.460629921,0.951069991,2000,2,-0.050167622
542,ILEXOPAO,1,1.476377953,1.711925983,2000,2,0.537619043
542,OXYDARB,3,14.27165354,79.69966521,2000,2,4.378265385
542,QUERPHE,3,9.350393701,29.48316971,2000,2,3.383819582
542,QUERSTE,1,1.476377953,1.711925983,2000,2,0.537619043
542,VIBUACE,5,2.460629921,0.951069991,2000,2,-0.050167622
547,VACCCOR,5,2.460629921,0.951069991,2000,2,-0.050167622
553,ILEXDECD,2,2.952755906,3.423851966,2001,2,1.230766223
553,NYSSSYL,1,2.460629921,4.755349953,2001,2,1.55927029
553,OXYDARB,5,2.460629921,0.951069991,2001,2,-0.050167622
553,VIBUPRU,10,4.921259843,1.902139981,2001,2,0.642979558
556,CARYTOM,5,2.460629921,0.951069991,2000,2,-0.050167622
556,JUNIVIR,2,5.905511811,17.11925983,2000,2,2.840204136
556,NYSSSYL,1,1.476377953,1.711925983,2000,2,0.537619043
556,PINUVIR,1,9.350393701,68.66725332,2000,2,4.229272424
556,ULMUALA,1,2.460629921,4.755349953,2000,2,1.55927029
556,ULMURUB,1,1.476377953,1.711925983,2000,2,0.537619043
56,CRAT1S1,5,2.460629921,0.951069991,2001,2,-0.050167622
56,PINUVIR,2,8.858267717,36.90151564,2001,2,3.608252624
560,FAGUGRA,1,1.476377953,1.711925983,2000,2,0.537619043
560,LIQUSTY,1,1.476377953,1.711925983,2000,2,0.537619043
560,PRUNSER,15,7.381889764,2.853209972,2000,2,1.048444666
562,CARPCAR,6,3.937007874,2.662995974,1999,2,0.979451795
